***1-6***","咁劲小气既你唔顺超咪整返图俾佢地囉都未打赢，打赢场仗先分功劳啦几十岁都闻到棺材香啦，班细蚊仔要威咪由佢地威囉","2/7/2019 20:03
萌神仆","你傻的吗嫁？比人笑两句就做哂啲会比人笑既野？你不如番去食绿豆啦Seven Head反送正为左呃like咩Hi 你几十岁人都唔化","2/7/2019 20:04
陆宝","绿豆蛇撑唔落","2/7/2019 20:04
卜卜鱼","呢D图笑下咪算, 咪认真","2/7/2019 20:04
胶质增生","WFC \/ 咪咁小气","2/7/2019 20:04
密技线","点解会讲到好似反送中系为左连登咁？  连登Hi Hi就唔反送中了，重要叫人唔好反送中？","2/7/2019 20:05
字源歧说","寻日你先出理性post，今日就转得咁快打倒昨天的我快到跟唔到","2/7/2019 20:06
太太","停战只限反送中其馀想抹黑高登既可以直接Hi 但反送中行动唔可以停真 唔再留口出就照出 但唔再停战","2/7/2019 20:06
香港正胶所","咪由劲佢地囉 呢啲火水来，你系咪想熄灯","2/7/2019 20:07
徐佳莹火虫","咁向左走向右走小气垃圾","2/7/2019 20:09
利宾纳捞饭","唔系头盔po嚟咩","2/7/2019 20:11
白粉电子报","引用巴打post 又有新 post 继续挑衅高登仔呀","2/7/2019 20:11
光头仔卡路士","最新决定停战至运动完结","最新决定
金华宇呈翔","话唔定连登整呢d图既人同系高登日日话反259既人,根本系同一班人比d低级打手搞到香港仅存既两个反政府forum鬼打鬼   好学唔学,学热普城日日自己打自己  香港只配有黄毓民陈云呢D废老同黄羊达呢D废中","2/7/2019 20:13
我讨厌麻烦","你傻的吗嫁？比人笑两句就做哂啲会比人笑既野？你不如番去食绿豆啦Seven Head反送正为左呃like咩Hi 你几十岁人都唔化绿豆sir一眼睇穿咩事，冲出来做丑角 忍辱负重 ","2/7/2019 20:14
白粉电子报","转贴至巴打 呢个精彩 https://lih.kg/1275760 ","2/7/2019 20:17
光头仔卡路士","你傻的吗嫁？比人笑两句就做哂啲会比人笑既野？你不如番去食绿豆啦Seven Head反送正为左呃like咩Hi 你几十岁人都唔化绿豆sir一眼睇穿咩事，冲出来做丑角 忍辱负重 ","2/7/2019 20:17
光头仔卡路士","转贴至巴打 呢个精彩 https://lih.kg/1275760 同卖波料啲做媒留言一样","2/7/2019 20:18
新界短毛猫","Hi 你仲系咪男人嚟，乜嘢重要啲唔向左走向右走识分？玩埋啲小学鸡嘢，唔怪得比人话高登没落","2/7/2019 20:20
昔年种柳","转贴至巴打 呢个精彩 https://lih.kg/1275760 呢条男朋友契到呢指鹿为马，礼义廉d套路黎","2/7/2019 20:20
***1-6***","转贴至巴打 呢个精彩 https://lih.kg/1275760  同卖波料啲做媒留言一样 是但啦，阿Joe自己都唔急，你地急乜野，真系高登是我家咩最后边个俾人出卖既就边个受囉，有乜好争","2/7/2019 20:20
光头仔卡路士","Hi 你仲系咪男人嚟，乜嘢重要啲唔向左走向右走识分？玩埋啲小学鸡嘢，唔怪得比人话高登没落果边小学鸡先禾附和","2/7/2019 20:21
呆滞犬小P","唔理咩坛，总之反送中就同路人，就系咁简单","2/7/2019 20:22
https","呢d 傻的吗图就算数啦","2/7/2019 20:23
光头仔卡路士","唔理咩坛，总之反送中就同路人，就系咁简单而家人地直线串你地废 冇出过力 不值尊重","2/7/2019 20:25
