小小飞机场","有咩好Hi?楼上果班3毛?美国发声又话侵侵得把口英国发声又收声啦支那女婿 其实打下嘴炮无用就系人都知既 但又唔洗起哂钢Hi哂鬼又盛既","3/7/2019 03:53
正字不正确","将中国违反联合声明呢样带到联合国大会公审就话你英国叻","将中国违反联合声明呢样带到联合国大会公审就话你英国叻
小胶子007","支那女婿博上位","3/7/2019 04:41
英属林郑月娥","说词同中国口交部一样平时都见识过好多中国口交","3/7/2019 06:21
Number_2","系咪收BNO难民啊？实做唔到啦 算把啦","3/7/2019 06:25
绿绿九九","有咩好Hi?楼上果班3毛?美国发声又话侵侵得把口英国发声又收声啦支那女婿 其实打下嘴炮无用就系人都知既 但又唔洗起哂钢Hi哂鬼又盛既 拿，我谂大部份人都系因为英国出左好多类似声明但系无任何实际行动先咁嬲拎埋枝港英旗出黎，先系个下议院插入关于香港反送中既urgent question....，仲要系0进度0行动 美国我就睇唔到有边几个话佢得把口喇，至少人地真系订左香港人权与民主法案，系依家侵侵Ｇ２０跪低，成班建制又出番黎姐，不过你都识讲啦，嘴炮昨嘛","3/7/2019 06:36
牛治熊","","3/7/2019 07:03
ActionScript","劲叫","3/7/2019 07:06
打工仔","系唔系有美国内幕料 ","3/7/2019 16:43
高威利","严重后果 = 同大陆婆离婚?   ","3/7/2019 16:48
吊高你廿码","God  your queen","3/7/2019 16:50
昔年种柳","二仔底学人洒冷，支那耿爽今日串劲你冇权监察，系唔理你呀，点呀？","3/7/2019 16:51
cityuser",""英国将会安置九七前出世港人在英伦三岛"  满意未",""英国将会安置九七前出世港人在英伦三岛"
香港政治学者","讲咁多次又唔做野不如唔好讲","3/7/2019 16:54
胶几钱","英国正一食屎狗！垃圾国家！","3/7/2019 17:34
【我爱黎姿】","下下得把口 做啦望","3/7/2019 17:36
Banjerman","系咪收BNO难民啊？实做唔到啦 算把啦  渣住自己国家护照但永久居留唔到，反而其他无护照既就狂收，香港人真系好悲","3/7/2019 17:37
