第0类：
		E6%	0.02204825153121655
		逃犯	0.01913466471583028
		E5%	0.017361177089073417
		条例	0.015334334087065573
		香港	0.014447590273687144
		移交	0.012737441490743026
		E4%	0.012484086115492047
		「	0.012230730740241067
		E7%	0.010203887738233226
		立法会	0.009570499300105775
		内地	0.00887377201816558
		引渡	0.008050367048599894
		修订	0.00798702820478715
		修例	0.007670333985723424
		E9%	0.007606995141910679
		BE%	0.007353639766659699
		E8%	0.007163623235221464
		保安局	0.006656912484719503
		政府	0.0063402182656557785
		安排	0.0063402182656557785
第1类：
		唔	0.037892984960523915
		新闻	0.029842163303137114
		政治	0.0261888492737347
		系	0.023753306587466428
		条例	0.020641224266123633
		咁	0.020641224266123633
		冇	0.017461487981273383
		佢	0.015702484930079627
		逃犯	0.014552367550452942
		讨论	0.014349405659930587
		Hi	0.013063980353288996
		嘅	0.011981516937169763
		关心	0.011102015411572887
		讲	0.010357821812990914
		俾	0.00893708857933442
		香港	0.008801780652319515
		大陆	0.00859881876179716
		向左走	0.008260548944259899
		向右走	0.008260548944259899
		洗版	0.00798993309023009
第2类：
		香港	0.028946374100321626
		「	0.0187169964335413
		修例	0.01650523910018339
		政府	0.012542507211250472
		逃犯	0.0106072195445623
		中	0.009409184322326769
		联办	0.009224871211213608
		条例	0.0070131138778557
		支持	0.006736644211185962
		修订	0.006460174544516224
		台湾	0.005630765544507008
		建制	0.005538608988950429
		会议	0.00535429587783727
		美国	0.0044327303222714744
		委员会	0.004064104100045157
		派	0.0039719475444885775
		内地	0.0039719475444885775
		主席	0.0038797909889319976
		主任	0.0038797909889319976
		中国	0.003695477877818839
